,c7223,c7318,c7210,c7219
2017-06-26 19:50:00,99.13867797851563,99.1207489013672,98.81990966796874,99.24165191650391
2017-06-26 19:55:00,99.22042846679688,99.24400634765625,98.9322998046875,99.34687805175781
2017-06-26 20:00:00,99.10214538574219,99.1490249633789,98.82030029296875,99.17789459228516
2017-06-26 20:05:00,99.02820739746093,99.0763656616211,98.82145843505859,99.12890167236328
2017-06-26 20:10:00,99.26579132080079,99.28741912841797,98.97311859130859,99.47266845703125
2017-06-26 20:15:00,99.06374969482422,99.04325714111329,98.77440185546875,99.21746215820312
2017-06-26 20:20:00,99.22702484130859,99.23597412109375,98.93375854492187,99.33185729980468
2017-06-26 20:25:00,98.96598510742187,99.22428131103516,98.8565185546875,99.28952026367188
2017-06-26 20:30:00,99.04649963378907,99.12701263427735,98.81619720458984,99.28987884521484
2017-06-26 20:35:00,99.20411682128906,99.26646728515625,98.81225280761718,99.31453399658203
2017-06-26 20:40:00,99.09718017578125,99.04458312988281,98.7413116455078,99.15599517822265
2017-06-26 20:45:00,99.17837371826172,99.21674499511718,98.9134033203125,99.31607666015626
2017-06-26 20:50:00,99.10409698486328,99.13191986083984,98.78930358886718,99.17742462158203
2017-06-26 20:55:00,99.15413360595703,99.24309844970703,98.92430572509765,99.31549682617188
2017-06-26 21:00:00,99.00984954833984,99.12145233154297,98.75702667236328,99.16031799316406
2017-06-26 21:05:00,99.0156265258789,99.07365417480469,98.7397445678711,99.09745025634766
2017-06-26 21:10:00,99.18392486572266,99.24913635253907,98.7495101928711,99.30412139892579
2017-06-26 21:15:00,99.01293029785157,99.11730499267578,98.7395523071289,99.15483093261719
2017-06-26 21:20:00,99.21893615722657,99.28427276611328,98.84137115478515,99.2907501220703
2017-06-26 21:25:00,98.9083236694336,99.03411712646485,98.71994018554688,99.17442474365234
2017-06-26 21:30:00,99.02971649169922,99.11828918457032,98.68289794921876,99.1607452392578
2017-06-26 21:35:00,99.15873413085937,99.23142852783204,98.90911865234375,99.3674331665039
2017-06-26 21:40:00,99.07473602294922,99.0325698852539,98.66654663085937,99.16637268066407
2017-06-26 21:45:00,99.15200500488281,99.23559265136718,98.86835479736328,99.27117767333985
2017-06-26 21:50:00,99.27723083496093,99.3580093383789,99.1670425415039,99.40990600585937
2017-06-26 21:55:00,99.45759735107421,99.51913604736328,99.57918853759766,99.508935546875
2017-06-26 22:00:00,99.47479400634765,99.51282806396485,99.56624603271484,99.49687042236329
2017-06-26 22:05:00,99.4735336303711,99.52325134277343,99.57444458007812,99.51584930419922
2017-06-26 22:10:00,99.47736968994141,99.52753295898438,99.57084655761719,99.51313018798828
2017-06-26 22:15:00,99.48019866943359,99.49308624267579,99.57120056152344,99.49759826660156
2017-06-26 22:20:00,99.4660659790039,99.51608581542969,99.57215576171875,99.51077270507812
2017-06-26 22:25:00,99.48397369384766,99.52444915771484,99.57118225097656,99.52246551513672
2017-06-26 22:30:00,99.49538726806641,99.52666931152343,99.57277984619141,99.50941925048828
2017-06-26 22:35:00,99.474755859375,99.5315444946289,99.5707778930664,99.48541107177735
2017-06-26 22:40:00,99.49401245117187,99.52126922607422,99.5722900390625,99.52167053222657
2017-06-26 22:45:00,99.47675476074218,99.5293182373047,99.5593475341797,99.50596923828125
2017-06-26 22:50:00,99.49134521484375,99.51227264404297,99.57630920410156,99.5099884033203
2017-06-26 22:55:00,99.50005493164062,99.53213500976562,99.5736297607422,99.50783233642578
2017-06-26 23:00:00,99.487109375,99.50491790771484,99.57078552246094,99.50909881591797
2017-06-26 23:05:00,99.49463806152343,99.53214416503906,99.57593994140625,99.51086883544922
2017-06-26 23:10:00,99.479248046875,99.49601440429687,99.57146301269532,99.49725036621093
2017-06-26 23:15:00,99.49678955078124,99.523583984375,99.57826232910156,99.51940612792968
2017-06-26 23:20:00,99.41673583984375,99.5226821899414,99.57953643798828,99.52106018066407
2017-06-26 23:25:00,99.48473663330078,99.52032775878907,99.57178344726563,99.51854705810547
2017-06-26 23:30:00,99.4999267578125,99.50957641601562,99.57144317626953,99.51865997314454
2017-06-26 23:35:00,99.48701782226563,99.52023773193359,99.58121032714844,99.51570892333984
2017-06-26 23:40:00,99.47733459472656,99.51677093505859,99.58200073242188,99.52548217773438
2017-06-26 23:45:00,99.47749786376953,99.50943145751953,99.57754364013672,99.46935424804687
2017-06-26 23:50:00,99.49058837890625,99.51833953857422,99.57252349853516,99.48058471679687
2017-06-26 23:55:00,99.48935394287109,99.51615447998047,99.58103485107422,99.53506927490234
2017-06-27 00:00:00,99.48487854003906,99.52273559570312,99.5833740234375,99.51426239013672
2017-06-27 00:05:00,99.4923599243164,99.51509399414063,99.57845458984374,99.49859771728515
2017-06-27 00:10:00,99.4930206298828,99.52864685058594,99.57785034179688,99.48582153320312
2017-06-27 00:15:00,99.47617950439454,99.51293640136718,99.56877746582032,99.505126953125
2017-06-27 00:20:00,99.49960479736328,99.52559204101563,99.5800064086914,99.50645141601562
2017-06-27 00:25:00,99.49664916992188,99.51861572265625,99.57671508789062,99.53016815185546
2017-06-27 00:30:00,99.49244995117188,99.52462921142578,99.5754379272461,99.5173355102539
2017-06-27 00:35:00,99.49642486572266,99.47001037597656,99.56916809082031,99.51640319824219
2017-06-27 00:40:00,99.49337005615234,99.52421875,99.5765884399414,99.52118682861328
2017-06-27 00:45:00,99.48058319091797,99.51280822753907,99.5763931274414,99.51405334472656
2017-06-27 00:50:00,99.48680419921875,99.52151489257812,99.57299194335937,99.52471160888672
2017-06-27 00:55:00,99.48716430664062,99.5165298461914,99.57707824707032,99.52531433105469
2017-06-27 01:00:00,99.4802734375,99.51701202392579,99.56599426269531,99.51871185302734
2017-06-27 01:05:00,99.47613220214843,99.53068542480469,99.57283020019531,99.51457366943359
2017-06-27 01:10:00,99.4809555053711,99.52130432128907,99.57203979492188,99.4986343383789
2017-06-27 01:15:00,99.46865234375,99.52519226074219,99.55979614257812,99.54242553710938
2017-06-27 01:20:00,99.47333221435547,99.51168365478516,99.56716766357422,99.52909545898437
2017-06-27 01:25:00,99.49567108154297,99.52375183105468,99.56924743652344,99.54046173095703
2017-06-27 01:30:00,99.4867950439453,99.5232650756836,99.56315460205079,99.52153167724609
2017-06-27 01:35:00,99.47276306152344,99.52548828125,99.57660217285157,99.50238647460938
2017-06-27 01:40:00,99.47718658447266,99.53015441894532,99.57444305419922,99.52940673828125
2017-06-27 01:45:00,99.48209381103516,99.5082778930664,99.56867828369141,99.5224822998047
2017-06-27 01:50:00,99.47939605712891,99.52015075683593,99.57250671386718,99.51951446533204
2017-06-27 01:55:00,99.48590087890625,99.47164306640624,99.57069854736328,99.5136489868164
2017-06-27 02:00:00,99.47829895019531,99.4893295288086,99.57588195800781,99.50262603759765
2017-06-27 02:05:00,99.48504333496093,99.52037200927734,99.57155914306641,99.52975921630859
2017-06-27 02:10:00,99.4798355102539,99.48206329345703,99.57731781005859,99.54079132080078
2017-06-27 02:15:00,99.47777252197265,99.4930419921875,99.56694183349609,99.51788635253907
2017-06-27 02:20:00,99.4920669555664,99.52396850585937,99.57383575439454,99.52963256835938
2017-06-27 02:25:00,99.49581146240234,99.48763275146484,99.57398223876953,99.49995574951171
2017-06-27 02:30:00,99.49474334716797,99.52245025634765,99.57155914306641,99.5061767578125
2017-06-27 02:35:00,99.4789321899414,99.52149963378906,99.57073059082032,99.53701782226562
2017-06-27 02:40:00,99.49283294677734,99.52361755371093,99.57361450195313,99.52722930908203
2017-06-27 02:45:00,99.4715072631836,99.52620391845703,99.56677551269532,99.53397064208984
2017-06-27 02:50:00,99.4932647705078,99.47732543945312,99.57108917236329,99.54127044677735
2017-06-27 02:55:00,99.50142822265624,99.51582794189453,99.5777603149414,99.51611633300782
2017-06-27 03:00:00,99.5042236328125,99.50318450927735,99.58088531494141,99.519970703125
2017-06-27 03:05:00,99.49462890625,99.50873565673828,99.57695770263672,99.52107696533203
2017-06-27 03:10:00,99.4842758178711,99.51867980957032,99.57661285400391,99.52191009521485
2017-06-27 03:15:00,99.48282012939453,99.52761535644531,99.56982116699218,99.47197875976562
2017-06-27 03:20:00,99.47481231689453,99.52328186035156,99.57698211669921,99.52731323242188
2017-06-27 03:25:00,99.48153381347656,99.52858276367188,99.57524261474609,99.52213287353516
2017-06-27 03:30:00,99.48661346435547,99.53173522949218,99.57624053955078,99.53246765136718
